model,variant,n,em_pct,contains_pct,contains_ci_low_pct,contains_ci_high_pct,avg_latency_s,avg_response_chars,avg_completion_tokens,total_cost_cny,cost_per_contains_hit_cny,cost_per_em_hit_cny,contains_per_1k_output_tokens
deepseek,multi_key,110,70.0,100.0,96.6,100.0,0.77,6.4,4.7,0.7081,0.0064,0.0092,263.2
deepseek,numeric_confusable,109,70.6,89.9,82.8,94.3,0.81,7.7,6.2,0.5545,0.0057,0.0072,190.2
deepseek,style_aligned,109,55.0,100.0,96.6,100.0,0.78,5.5,4.4,0.5585,0.0051,0.0093,229.36
kimi,multi_key,110,99.1,100.0,96.6,100.0,2.22,8.0,7.4,69.6266,0.633,0.6388,152.2
kimi,numeric_confusable,105,69.5,82.9,74.5,88.9,2.55,6.8,7.2,62.1458,0.7143,0.8513,135.24
kimi,style_aligned,104,100.0,100.0,96.4,100.0,1.98,5.6,5.7,60.5212,0.5819,0.5819,176.28
qwen,multi_key,110,100.0,100.0,96.6,100.0,1.39,8.1,7.5,4.0903,0.0372,0.0372,191.86
qwen,numeric_confusable,105,62.9,67.6,58.2,75.8,20.99,6.1,5.6,3.6615,0.0516,0.0555,146.19
qwen,style_aligned,104,100.0,100.0,96.4,100.0,1.36,5.4,5.1,3.5598,0.0342,0.0342,201.44
