model,task,n,em_pct,contains_pct,contains_ci_low_pct,contains_ci_high_pct,avg_latency_s,avg_response_chars,avg_completion_tokens,total_cost_cny,cost_per_contains_hit_cny,cost_per_em_hit_cny,contains_per_1k_output_tokens
deepseek,multi_hop,32,43.8,65.6,48.3,79.6,1.36,6.9,4.2,0.1107,0.0053,0.0079,256.55
deepseek,niah,350,61.1,90.6,87.1,93.2,0.73,6.1,4.8,1.8211,0.0057,0.0085,213.38
kimi,niah,350,81.7,86.0,82.0,89.2,2.05,6.2,6.2,192.2936,0.6388,0.6724,140.79
qwen,multi_hop,32,68.8,68.8,51.4,82.0,0.9,4.9,4.1,0.6243,0.0284,0.0284,204.69
qwen,niah,350,80.0,81.4,77.0,85.2,7.14,6.0,5.5,11.3116,0.0397,0.0404,164.01
