model,hops,n,em_pct,contains_pct,contains_ci_low_pct,contains_ci_high_pct,avg_latency_s,avg_response_chars,avg_completion_tokens,total_cost_cny,cost_per_contains_hit_cny,cost_per_em_hit_cny,contains_per_1k_output_tokens
deepseek,2.0,27,48.1,74.1,55.3,86.8,1.44,6.7,4.1,0.0927,0.0046,0.0071,291.71
deepseek,3.0,5,20.0,20.0,3.6,62.4,0.96,8.0,4.6,0.018,0.018,0.018,66.67
qwen,2.0,27,74.1,74.1,55.3,86.8,0.91,5.0,4.0,0.5273,0.0264,0.0264,229.01
qwen,3.0,5,40.0,40.0,11.8,76.9,0.84,4.4,4.2,0.097,0.0485,0.0485,73.33
